Customer ID,Customer Name,Geo_code
72-055-7985,Laney Fadden,132
65-353-0657,Giacopo Bramich,650
90-876-6799,Lia Bonar,676
73-873-4827,Merrill Baudon,558
80-927-5246,Tasia Fautly,580
77-111-2020,Angel Veschambre,610
10-341-4047,Sheilah Maestro,789
83-800-4789,Audie Willcocks,774
89-896-4591,Mart Malsher,796
21-282-1343,Magdalen Lacheze,145
04-699-2162,Margarita Mancktelow,645
72-013-3529,Ashil Brogini,561
09-688-8521,Arthur Mathewson,224
08-390-4691,Ennis Dungate,663
56-479-7571,Tiffani Halstead,792
75-558-6855,Roddie Winterbotham,308
09-710-7305,Pincas Stearn,391
81-678-3234,Tony Crabtree,187
83-988-2186,Tamarah Filasov,459
66-386-4902,Pen Pruce,38
37-285-0504,Boot Burree,117
07-111-7669,Sabra Calbreath,330
84-136-7752,Obidiah Zanicchi,519
72-417-9175,Anders Stowe,126
79-082-9805,Locke Janaway,453
24-545-1124,Kaylyn Colebourne,245
84-300-6499,Noni Quickenden,107
93-913-0650,Alan Paskell,202
91-251-5721,Anny Pattemore,457
04-960-9928,Les Harmson,826
35-042-6593,Horatio Lundy,166
45-879-0850,Sibley Rodder,947
78-492-1244,Dniren Copperwaite,299
87-172-1004,Sorcha Beesley,42
55-516-2272,Alison Jamieson,66
79-227-9821,Dre Danher,193
87-811-2475,Chris Gummer,465
97-003-2495,Adiana Shirtliff,50
26-631-4044,Derry Davis,662
07-925-9556,Lenci McFadzean,415
18-296-6063,Uriel Grooby,550
26-237-6257,Jillayne Gaiford,564
77-064-4656,Tiertza Doogan,823
29-631-4932,Ilario Michie,645
04-268-9065,Sarah Plaschke,910
06-545-4037,Skipp Lowater,673
82-278-5664,Maddalena Wolfinger,997
19-112-3031,Mariquilla Labbe,922
58-749-9630,Cornelius Harkess,609
60-238-7059,Erv Padrick,913
03-575-7094,Fielding Struys,236
83-465-8495,Purcell Eyer,568
97-122-0077,Pietra Dibdall,601
44-106-8726,Dyanne Labbet,502
75-652-8475,Elsworth Stannas,182
66-683-1761,Marlo McGeaney,206
18-238-2784,Calvin Aucock,483
14-427-0652,Prudence Eastlake,893
96-883-5571,Gwenora Beauchamp,995
59-450-2625,Jerrie Jiran,85
17-237-9919,Linc Martynov,381
89-302-9477,Jackie Kment,989
30-395-2269,Phil Schapero,500
60-742-1416,Giusto Sheavills,939
42-286-4150,Emmalynne Hairs,471
36-854-2570,Mirna Rosita,818
00-988-1489,Alard Briat,809
80-467-4735,Ferdinand Fowley,933
04-049-1006,Averell Joint,154
